"Family","Species.ssp.var","common.name","wild.cultivated","Herbaceous.woody","Trait","VALUE","WR2toCrop","WR2toWR1","Both","Neither","Direction.WR2toCrop","Direction.WR2toWR1"
"Sapindaceae","Acer_saccharum","Sugar maple","Cultivated","Woody","Flowering","Terminal",0,0,0,1,"",""
"Sapindaceae","Acer_saccharum","Sugar maple","Cultivated","Woody","MeristemFunctioning","Indeterminate",0,0,0,1,"",""
"Sapindaceae","Acer_saccharum","Sugar maple","Cultivated","Woody","BranchingMechanism","Rhythmic",0,0,0,1,"",""
"Sapindaceae","Acer_saccharum","Sugar maple","Cultivated","Woody","ShortShoots","Present",0,0,0,1,"",""
"Sapindaceae","Acer_saccharum","Sugar maple","Cultivated","Woody","Reiteration","NoData",0,0,0,1,"",""
"Sapindaceae","Acer_saccharum","Sugar maple","Cultivated","Woody","BasalBranching","NoData",0,0,0,1,"",""
"Asteraceae","Acmella_alba","Paracress wild relative 1","Wild","Herbaceous","GrowthDirection","Orthotropic",0,0,0,1,"",""
"Asteraceae","Acmella_alba","Paracress wild relative 1","Wild","Herbaceous","Phyllotaxis","Opposite",0,0,0,1,"",""
"Asteraceae","Acmella_alba","Paracress wild relative 1","Wild","Herbaceous","Branching","Branched",0,0,0,1,"",""
"Asteraceae","Acmella_alba","Paracress wild relative 1","Wild","Herbaceous","BranchingType","Monopodial",0,0,0,1,"",""
"Asteraceae","Acmella_alba","Paracress wild relative 1","Wild","Herbaceous","BranchingPosition","Basitonic",0,0,0,1,"",""
"Asteraceae","Acmella_alba","Paracress wild relative 1","Wild","Herbaceous","Flowering","Terminal",0,0,0,1,"",""
"Asteraceae","Acmella_alba","Paracress wild relative 1","Wild","Herbaceous","MeristemFunctioning","Determinate",0,0,0,1,"",""
"Asteraceae","Acmella_alba","Paracress wild relative 1","Wild","Herbaceous","BranchingMechanism","Continuous",0,0,0,1,"",""
